Negativo, Escuchen lo que dice este periodista de un canal correista - castrochavista - peronista.,
Negativo, Ese es parte de los payasos del circo político que tiene el #Ecuador, y se suma a esto la ignorancia
Positive, Les envío Luz, Paz y Amor  
Positive, Buenas noches corazones...,
Positive, Dios los bendiga infinitamente,
Hay muchas familias atravesando momentos de mucho dolor, miedo e incertidumbre en #Ecuador.,
Positive, Qué bueno que el gobierno de Correa emita bonos a 5 años plazo con una tasa altísima de 10,5 %!
,,
Positive, Andrade, así es. No dejemos que ningún tipo de regionalismo nos divida.
Negativo," ""Hermano ecuatoriano de cualquier rincón de este país", mi mensaje para ti es que sepas q lo que pasa en Guayaquil.
