,fecha,tweets
784,2020-04-22 03:49:45,"Artículo de @elcomerciocom (2012) ""Una reducción salarial es un despido intempestivo"" https://t.co/jhutp0e2Pa 
Pero… https://t.co/iQ0waxRD9J"
783,2020-04-22 15:51:47,"Situación del COVID19 en Samborondón y Guayaquil al 22.04.2020 actualizado a las 08h00

#COVID19  #coronavirus… https://t.co/C2o1ftOwei"
782,2020-04-22 16:21:08,"Guayas tiene 6 días de retraso en el proceso de pruebas Pichincha solamente 2.

#COVID19  #coronavirus… https://t.co/ITPP8iaqo7"
781,2020-04-22 19:01:46,"@PaulGranda abandona el @IESSec 
Un barco que se viene y hundiendo desde siempre por el esquema en el que está cons… https://t.co/yhwv70ikbU"
780,2020-04-22 20:43:58,Asambleísta @CarlosVeraEc pregunta al Dr. Carlos Rosero “A que se debe que un paciente con #Covid_19ec salga de est… https://t.co/Lwz131Ta47
779,2020-04-22 21:58:26,"Ya mismo Zoom al Día!
Síguenos en la fan page de @PrimeraPlanaECU. Evaluaremos los anuncios de hoy en el marco de… https://t.co/hDARB4LpGx"
778,2020-04-22 22:13:07,El #SobregiroBCEYa es legal y urgente para inyectar HOY los recursos que requiere la emergencia sanitaria y la cris… https://t.co/KUUo5budVQ
777,2020-04-22 22:22:24,#ZamoraChinchipe | Boletín oficial del ministerio de salud sobre los casos de #COVID_19Ec en la provincia de Zamor… https://t.co/0b3ogmjFxL
776,2020-04-22 22:55:45,Los niños/as 👦🏻👧🏽 tienen inquietudes sobre la situación que vivimos. Te damos algunos consejos para sobrellevar la… https://t.co/wo9IEnvoob
775,2020-04-22 23:00:00,Antes de la pandemia las cárceles del Ecuador ya tenían hacinamiento amotinamientos falta de atención en salud y… https://t.co/DKzMOg82vz
774,2020-04-22 23:09:35,"#ATENCION| actualización #Covid_19ec #QuedateEnCasa             
😷Casos confirmados: 10.850
🕊Personas fallecidas: 5… https://t.co/kPsRi417A6"
773,2020-04-23 00:45:00,Para entender la información y dialogar con fundamento sobre el coronavirus es necesario aprender el nuevo vocabula… https://t.co/fvQY7tN6nG
772,2020-04-23 01:04:05,Investigadores chinos de la Facultad de Salud Pública del Departamento de Epidemiología y Bioestadística realizaron… https://t.co/5McM8nY6mT
771,2020-04-23 01:06:10,"Estado de casos en Guayaquil y Samborondón

#COVID19  #coronavirus
#coronavirusEcuador #Covid_19ec #COVID19Ecuador… https://t.co/MGQRIdnkl7"
770,2020-04-23 01:09:21,"Samborondón: casos positivos/muertes por grupos de edad y sexo

#COVID19  #coronavirus
#coronavirusEcuador… https://t.co/JxqS8nHxxA"
769,2020-04-23 01:11:54,"Guayaquil: casos positivos/muertes por grupos de edad y sexo

#COVID19  #coronavirus
#coronavirusEcuador… https://t.co/hmQNwe2xkY"
768,2020-04-23 01:33:11,@jimmyjairala @EcuavisaInforma @UnCafeConJJ Drs en Francia los pacientes que sufrieron el #Covid19Ec quedan con dañ… https://t.co/Np935eLxgy
767,2020-04-23 02:09:33,Señores @SNAI_Ec en la cárcel 4-Quito hay 2 PPL positivo para #Covid_19ec y 12 en aislamiento de 46 PPL si no toma… https://t.co/P0MMCbuZAm
766,2020-04-23 02:11:29,Autoridades @Lenin @ottosonnenh @PedroPabloDuart @ComunicacionEc @Riesgos_Ec @CPCCS @IvanGrandaM @InclusionEc En és… https://t.co/IkmiOlVrwl
765,2020-04-23 02:12:58,#Pasa Empresa orgullosamente ecuatoriana aporta a la lucha contra #Covid_19ec 🌟Gracias 💛💙❤️ https://t.co/GYQfN7Cymx
764,2020-04-23 02:19:35,@elcomerciocom Perdoooona! Ni eran tus hijos ni tenía q defender nada! Era ayuda la cual negó y trató de dejar en… https://t.co/brCAfpveJE
763,2020-04-23 02:50:35,La tierra nos brinda alimentos para sobrevivir sin ellos y sin el trabajo de los campesinos las grandes ciudades… https://t.co/rtHg2JOo5T
762,2020-04-23 02:58:18,@elcomerciocom Infectado en una cárcel? Pero a donde se fue a pasear q se contagió? 🤔🤔🤔🤔#Coronavirus #Covid_19ec #cosasquesolopasanenecuador
761,2020-04-23 03:10:50,"#22Abril #Covid_19ec #QuedateEnCasa #EarthDay
Mi recomendación en series y películas para esta noche
Series:
El Emb… https://t.co/Rdlf091aXA"
760,2020-04-23 03:14:27,El primer #DiaDeLaTierra que en realidad la Tierra festejó #Covid_19ec #Covid_19
759,2020-04-23 03:28:43,tvcable #comunicacion #Covid_19ec #CoronavirusEcuador #TVCableContigoEnCasa  #QuedateEnCasa Señores tv cable este… https://t.co/3VKajIRHAw
758,2020-04-23 03:38:59,#Covid_19 frenó el labor de los ciudadanos de nuestra Loja apoyamos el #quedatencasa pero quienes no pueden acatar… https://t.co/Y0lQinBgQA
757,2020-04-23 03:39:02,@DaniellaJalonQ @fernandosand @JAIMEMOSCOSOA que dice que le dio la vuelta al #Covid_19ec y que ahora ataca como Es… https://t.co/EqVSTmem9a
756,2020-04-23 03:40:07,A qué hora de la mañana aparece #yosoymaximo y nos salva del #Covid_19ec ? https://t.co/7LGVcMGfMU
755,2020-04-23 03:40:26,Hoy que bueno que disminuyeron la cantaleta perdón las cadenas esperemos que este silencio relativo sea para que… https://t.co/WgWjsqvBQ3
754,2020-04-23 03:44:08,Los #mediosperiodísticos no cotejan permitiendo el bombardeo de la #desinformación Los ciudadanos aceptamos que s… https://t.co/VvwQshuNo2
753,2020-04-23 03:46:25,La realidad que se vive en el estado de emergencia sanitaria por el #Covid_19ec se evidencia en el número de denun… https://t.co/T2fNRLn9Dt
752,2020-04-23 03:48:39,@35PAIS @yessediazv El país necesita unidad frente al #Covid_19ec consensos y propuestas 👍
751,2020-04-23 03:52:28,A ver si entendí... no vivo en Guayaquil vivo en Esparta... y el Rey no es Leónidas es Nebot y la Reina no es Gorgo… https://t.co/s2m9CnBYsE
750,2020-04-23 03:55:06,"Peligro ... Advertencia ... Peligro ...
Como una cuestión realista
El número de muertos.
El número actual de muerto… https://t.co/W0wwf0a7Ad"
749,2020-04-23 03:56:51,@JuridicaPopular @RubenLoor16 @Salud_Ec será que habrá que llevar contagiados de #Covid_19ec a las audiencias para… https://t.co/eOR7AXrD72
748,2020-04-23 03:59:50,"ECUADOR:
A partir del jueves 23 de abril/2020 los salvoconductos conseguidos desde el 17 de marzo quedarán sin efe… https://t.co/zsRAgwf50l"
747,2020-04-23 04:00:30,"#Covid_19ec
Mientras tanto en #Tulcán extranjeros (Venezolanos) usan las calles como tinglado. 
@TulcanOnline… https://t.co/FAbGkl7pOP"
746,2020-04-23 04:04:21,Srs @ANT_ECUADOR @ATM_Transito @MinGobiernoEc no sirve la página para emitir salvoconducto. En todo el día no he po… https://t.co/1Pmk7KfRiG
745,2020-04-23 04:06:53,.@JorgeWated estimado: Quien pretendió ofenderlo con el término 'sepulturero' no lo logró y borró el tuit. Usted… https://t.co/sPQnknFdKH
744,2020-04-23 04:08:58,Hay otro virus más peligroso q el #Covid_19ec Se sabe poco como por ejemplo q destruye las neuronas. Los casos más… https://t.co/Axy4Xzt4Ob
743,2020-04-23 04:34:34,"&lt;Número de muertes y diagnóstico de congestión&gt;
&lt;Advertencia .. Peligro .. Quito ..&gt;
#Quito #QuedateEnTuCasa… https://t.co/DN7LFAxmr9"
742,2020-04-23 04:36:40,De a poco más despidos ahora es Sportplanet empleado con 6 años de servicio tan solo recibe $250… https://t.co/slhOeIsON5
741,2020-04-23 04:41:33,@milenkomar @CynthiaViteri6 debería ser internada para investigar si el #Covid_19ec le alteró el cerebro. Está más… https://t.co/lvCQiQbwSO
