indice,fecha,tweets
0,4/3/20 0:29, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
1,4/3/20 0:29,En todos lados ocurre esto Aún la gente no se da cuenta del timo cubano médico Siempre decepcionan a donde van 
2,4/3/20 0:29, marcelaholguin Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  CataAndramuno Ind
3,4/3/20 0:29, Vicever Más allá de su condición de traidor al pueblo que votó un programa de Izquierdas LeninMoreno ha demostrado ser un co
4,4/3/20 0:28,Auxilio comunidad internacional AmnistiaOnline ONUes necesitamos que se investigue esto y se nos ayude 
5,4/3/20 0:28, robinrobles ALEA otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo Es un foco de contag
6,4/3/20 0:28, chinocarrasco Guayaquil  Lluvia en estos momentos en el norte de Guayaquil sector San Felipe Nos informan que se escucha truenos
7,4/3/20 0:28,Ante la inacción del gobierno en Manabí debemos prepararnos para el peor escenario adverso dentro de la emergenci 
8,4/3/20 0:28, wgomezr AsambleaEcuador cesarlitardo somosrc SomosRCEc es urgente que USTEDES TOMEN UNA DECISIÓN FRENTE A LA FALTA DE UN GOBERNA
9,4/3/20 0:37, hachembassam Las imágenes que el Gobierno quiere ocultar y las televisiones gubernamentales no emitenEl resultado de sus negligenc
10,4/3/20 0:37, titi URGENTE Ahora si Porq Porq ya nadie les cree Porq ya es más q evidente q siempre mintieron con las cifras Se preoc
11,4/3/20 0:37, consuemary Alguien sabe si existe algo parecido para los profesionales de la comunicación social Digo algo así como juro informar
12,4/3/20 0:37, consuemary El funcionarato d ElPeorGobiernoDeLaHistoria haciendo lo que mejor saben hacer Sí exacto POSAR  EcuadorEnEmergencia S
13,4/3/20 0:36,PedroPabloDuart mariapaularomo CNTEC Lenin ottosonnenh GoberdelGuayas ViceEc PresidenciaEc SaludEc 
14,4/3/20 0:36, SalomnMontoya Con MashiRafael esto no hubiera pasado tuvo terremoto Golpe de Estado crisis sin embargo el pueblo nunca lo sufri
15,4/3/20 0:36,PeorGobiernoDeLaHistoria Fuerza camaradas pueblo noble pueblo de Ecuador SOSEcuador EcuadorEnEmergencia 
16,4/3/20 0:36, drexlerjorge Fuerza Guayaquil Ayudemos a EcuadorEcuadorSOS GuayaquilSOS EcuadorEnEmergencia
17,4/3/20 0:36, EcuadorVideo Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega
18,4/3/20 0:36, EcuadorVideo 𝗣𝗹𝗮𝘆 amp 𝗥𝗧  Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar
19,4/3/20 0:36, kellyglc Así está nuestro querido Ecuador actualmente  EcuadorEnEmergencia SOSEcuador SOSGuayaquil 
20,4/3/20 0:36, rudytomastejada PedroPabloDuart aguschmer Cupsfiregye EmergenciasEc tinocotania Favor su ayuda con el señor GuayaquilSOS Ecua
21,4/3/20 0:35, EconAndreaV LENIN MORENOSOS UNA RATA EN SILLA DE RUEDASEcuadorSeMuereSOSEcuador EcuadorEnEme
22,4/3/20 0:35, alonsoinca  Solo en la provincia de Guayas  la policía a recogido  cuerpos fallecidos en la calle EcuadorEnEmergencia Muchas
