"""2020-03-25 05:51:24"",""RT @fjsv1974: Visitadores médicos  del #Ecuador 🇪🇨 es el momento de ayudar."""
"""2020-03-25 05:50:43"",""Así es no hay #Paracetamol y hay mucha gente que de verdad lo necesita urg no se lo faciliten a los revendedores que llevan por cajas!!"" "
"""2020-03-25 05:48:55"", ""RT @EcuadorPlay: ¿Qué pasó con las donaciones para enfrentar el #CoronavirusEcuador? La @EmbajadaChinaEc 🇨🇳 envió 70000 mascarillas a Ecuador"""
"""2020-03-25 05:48:37"",""RT @Salud_Ec: 🕙COMUNICADO || #COVID19 #ActivadosPorLaSalud El Ministerio de Salud Pública informa que la vigilancia epidemiológica para cor…"""
"""2020-03-25 05:47:29"",""Gracias por filtrar el audio del VP, se ratifica que estamos en manos de una persona sensata y capaz! #CoronavirusEc #CoronavirusEcuador"""
"""2020-03-25 05:47:27"",""RT @APDPEcuador: Nuevos horarios de atención supermercados. #CoronavirusEcuador https://t.co/sE3jJfAqGh"""
"""2020-03-25 05:45:24"",""RT @lucylyonn: Todos los días son domingos desde que empezó la cuarentena.  Ya no hay horas: ahora sólo es día o noche.   Ya no hay rutinas…"""
"""2020-03-25 05:45:05"",""RT @merlinadelgolfo: Galápagos, Ecuador"""
"""2020-03-25 05:44:40"",""RT @Carlos_Orozcocd: La pandemia más letal de la historia del #Ecuador"""
"""2020-03-25 05:44:38"",""RT @fjsv1974: Visitadores médicos  del #Ecuador 🇪🇨 es el momento de ayudar."
"Farmacéuticas Necesitamos donaciones de éstos…"""
"""2020-03-25 05:42:48"",""RT @sebastcevallos: El único país en el mundo que en medio de una terrible crisis paga la deuda es @Lenin y su ministro @RichardM_A. Traici…"""
"""2020-03-25 05:42"":45,""RT @fjsv1974: Visitadores médicos  del #Ecuador 🇪🇨 es el momento de ayudar."""
