,fecha,tweets
0,2020-04-03 00:29:23,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
1,2020-04-03 00:29:22,En todos lados ocurre esto. Aún la gente no se da cuenta del timo cubano médico. Siempre decepcionan a donde van.… https://t.co/T9YQhE0Bst
2,2020-04-03 00:29:09,RT @marcelaholguin: Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  @CataAndramuno!!! Ind…
3,2020-04-03 00:29:06,"RT @Vicever99396781: Más allá de su condición de traidor al pueblo que votó un programa de Izquierdas, #LeninMoreno ha demostrado ser un co…"
4,2020-04-03 00:28:56,Auxilio comunidad internacional!!! @AmnistiaOnline @ONU_es necesitamos que se investigue esto y se nos ayude… https://t.co/6yLntaALBb
5,2020-04-03 00:28:56,"RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicación, es imprescindible retirar ese cuerpo. Es un foco de contag…"
6,2020-04-03 00:28:45,"RT @chinocarrasco_: Guayaquil | #Lluvia en estos momentos en el norte de #Guayaquil, sector San Felipe. Nos informan que se escucha truenos…"
7,2020-04-03 00:28:43,"Ante la inacción del gobierno, en #Manabí debemos prepararnos para el peor escenario adverso dentro de la emergenci… https://t.co/smsGUo76Pp"
8,2020-04-03 00:28:37,RT @wgomezr: @AsambleaEcuador @cesarlitardo @somos_rc @SomosRC_Ec es urgente que USTEDES TOMEN UNA DECISIÓN FRENTE A LA FALTA DE UN GOBERNA…
9,2020-04-03 00:37:23,"RT @hachem_bassam: Las imágenes que el Gobierno quiere ocultar y las televisiones gubernamentales no emiten.

El resultado de sus negligenc…"
10,2020-04-03 00:37:04,"RT @titi3825: #URGENTE 

Ahora si!? Porq!? Porq ya nadie les cree!? Porq ya es más q evidente q siempre mintieron con las cifras!? Se preoc…"
11,2020-04-03 00:37:01,RT @consuemary: Alguien sabe si existe algo parecido para los profesionales de la comunicación social??? Digo algo así como: juro informar…
12,2020-04-03 00:37:00,RT @consuemary: El funcionarato d #ElPeorGobiernoDeLaHistoria haciendo lo que mejor saben hacer... Sí exacto POSAR  #EcuadorEnEmergencia #S…
13,2020-04-03 00:36:41,@PedroPabloDuart @mariapaularomo @CNT_EC @Lenin @ottosonnenh @GoberdelGuayas @Vice_Ec @Presidencia_Ec @Salud_Ec… https://t.co/jGs9Ktvoji
14,2020-04-03 00:36:26,"RT @SalomnMontoya1: Con @MashiRafael esto no hubiera pasado, tuvo terremoto, Golpe de Estado, crisis; sin embargo, el pueblo nunca lo sufri…"
15,2020-04-03 00:36:25,"#PeorGobiernoDeLaHistoria 
Fuerza camaradas, pueblo noble pueblo de Ecuador #SOSEcuador 
#EcuadorEnEmergencia https://t.co/4h7xiuq4BY"
16,2020-04-03 00:36:22,"RT @drexlerjorge: Fuerza #Guayaquil !
Ayudemos a Ecuador!
#EcuadorSOS 
#GuayaquilSOS #EcuadorEnEmergencia"
17,2020-04-03 00:36:13,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
18,2020-04-03 00:36:09,RT @EcuadorVideo: 𝗣𝗹𝗮𝘆 &amp; 𝗥𝗧 ▶️ Así están los médicos del Ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar…
19,2020-04-03 00:36:07,RT @kellyglc: Así está nuestro querido Ecuador actualmente 😢💔 #EcuadorEnEmergencia #SOSEcuador #SOSGuayaquil https://t.co/DKUfLIwClL
20,2020-04-03 00:36:04,RT @rudytomastejada: @PedroPabloDuart @aguschmer @Cupsfire_gye @EmergenciasEc @tinocotania Favor su ayuda con el señor. #GuayaquilSOS #Ecua…
21,2020-04-03 00:35:59,"RT @EconAndreaV: LENIN MORENO........

SOS UNA RATA EN SILLA DE RUEDAS!
🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮

#EcuadorSeMuere
#SOSEcuador 
#EcuadorEnEme…"
