Unnamed: 0,fecha,tweets
0,2020-04-03 00:29:23, ecuadorvideo situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega…
1,2020-04-03 00:29:22,en todos lados ocurre esto aún la gente no se da cuenta del timo cubano médico siempre decepcionan a donde van… https//tco/tyqhebst
2,2020-04-03 00:29:09, marcelaholguin miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  cataandramuno ind…
3,2020-04-03 00:29:06, vicever más allá de su condición de traidor al pueblo que votó un programa de izquierdas leninmoreno ha demostrado ser un co…
4,2020-04-03 00:28:56,auxilio comunidad internacional amnistiaonline onues necesitamos que se investigue esto y se nos ayude… https//tco/ylntaalbb
5,2020-04-03 00:28:56, robinrobles alea otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo es un foco de contag…
6,2020-04-03 00:28:45, chinocarrasco guayaquil  lluvia en estos momentos en el norte de guayaquil sector san felipe nos informan que se escucha truenos…
7,2020-04-03 00:28:43,ante la inacción del gobierno en manabí debemos prepararnos para el peor escenario adverso dentro de la emergenci… https//tco/smsguopp
8,2020-04-03 00:28:37, wgomezr asambleaecuador cesarlitardo somosrc somosrcec es urgente que ustedes tomen una decisiÓn frente a la falta de un goberna…
9,2020-04-03 00:37:23, hachembassam las imágenes que el gobierno quiere ocultar y las televisiones gubernamentales no emitenel resultado de sus negligenc…
10,2020-04-03 00:37:04, titi urgente ahora si porq porq ya nadie les cree porq ya es más q evidente q siempre mintieron con las cifras se preoc…
11,2020-04-03 00:37:01, consuemary alguien sabe si existe algo parecido para los profesionales de la comunicación social digo algo así como juro informar…
12,2020-04-03 00:37:00, consuemary el funcionarato d elpeorgobiernodelahistoria haciendo lo que mejor saben hacer sí exacto posar  ecuadorenemergencia s…
13,2020-04-03 00:36:41,pedropabloduart mariapaularomo cntec lenin ottosonnenh goberdelguayas viceec presidenciaec saludec… https//tco/jgsktvoji
14,2020-04-03 00:36:26, salomnmontoya con mashirafael esto no hubiera pasado tuvo terremoto golpe de estado crisis; sin embargo el pueblo nunca lo sufri…
15,2020-04-03 00:36:25,peorgobiernodelahistoria fuerza camaradas pueblo noble pueblo de ecuador sosecuador ecuadorenemergencia https//tco/hxiuqby
16,2020-04-03 00:36:22, drexlerjorge fuerza guayaquil ayudemos a ecuadorecuadorsos guayaquilsos ecuadorenemergencia
17,2020-04-03 00:36:13, ecuadorvideo situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega…
18,2020-04-03 00:36:09, ecuadorvideo 𝗣𝗹𝗮𝘆 &amp; 𝗥𝗧 ▶️ así están los médicos del ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar…
19,2020-04-03 00:36:07, kellyglc así está nuestro querido ecuador actualmente 😢💔 ecuadorenemergencia sosecuador sosguayaquil https//tco/dkufliwcll
20,2020-04-03 00:36:04, rudytomastejada pedropabloduart aguschmer cupsfiregye emergenciasec tinocotania favor su ayuda con el señor guayaquilsos ecua…
21,2020-04-03 00:35:59, econandreav lenin morenosos una rata en silla de ruedas🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮ecuadorsemueresosecuador ecuadoreneme…
22,2020-04-03 00:35:50, alonsoinca 🚨 solo en la provincia de guayas 🇪🇨 la policía a recogido + cuerpos fallecidos en la calle ecuadorenemergencia muchas…
23,2020-04-03 00:35:46,patriciomery lenin es normal que escriban estas y otras tonterías ecuadorenemergencia porqué el gobierno pierde… https//tco/onkxmma
24,2020-04-03 00:35:40, willysmytch ecuadorenemergencia guayaquil de mis amores hoy tu cielo esta de luto ya no brillas como una perla quien se llevó tu b…
25,2020-04-03 00:35:26, ecuadorvideo continúan muriendo en los domicilios los enfermos de coronavirus por falta de atención médica en los hospitales ecuador…
26,2020-04-03 00:35:24, efuentesec sólo  millones  ecuador sigue esperando el desembolso que ofreció finanzasec el  de marzo cuando corrió a pag…
27,2020-04-03 00:35:05, taniasandinista en momentos de patriagrande ecuadorenemergencia dueleel mundo dueley aunq la pandemia sea mundialhay países q s…
28,2020-04-03 00:35:04, ecuadorvideo situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia y le niega…
29,2020-04-03 00:35:02, veronicaariasf en medio de todo el dolor y la angustia por esta terrible pandemia también hay esperanza en loja recibieron el alta…
30,2020-04-03 00:35:00, ecuadorvideo 𝗣𝗹𝗮𝘆 &amp; 𝗥𝗧 ▶️ así están los médicos del ecuador en algunos lugares viendo la mejor manera de protegerse para poder salvar…
31,2020-04-03 00:34:55, pierocampelo la diferencia entre guayaquil y quito está en sus lideres una de estas ciudades las lidera un médico ecuadorenemergen…
32,2020-04-03 00:34:48, precarla urgente 🆘sigue la tragedia en ecuadorenemergencia https//tco/jlxrbwwp
33,2020-04-03 00:34:44, bytati el propio presidente moreno desmiente las cifras oficiales presentadas por el coe aclara que ahora recogen  cadáveres diar…
34,2020-04-03 00:34:43,este tipo cree quecon cacerolazos el covidec va a desaparecerestos politiqueros opounistas solo dan ver… https//tco/ojrmrxlwx
35,2020-04-03 00:34:36, bytati el propio presidente moreno desmiente las cifras oficiales presentadas por el coe aclara que ahora recogen  cadáveres diar…
36,2020-04-03 00:34:36,sólo  millones  ecuador sigue esperando el desembolso que ofreció finanzasec el  de marzo cuando corr… https//tco/agyyrtsn
37,2020-04-03 00:34:35, consuemary alguien sabe si existe algo parecido para los profesionales de la comunicación social digo algo así como juro informar…
38,2020-04-03 00:34:29, robinrobles alea otro caso con datos claros y detalles de la ubicación es imprescindible retirar ese cuerpo es un foco de contag…
39,2020-04-03 00:34:24,para que se den cuenta la estupidez de este abogado que le dieron editando un video de guayaquil con un video d… https//tco/mweirqwk
40,2020-04-03 00:34:08,monte sinai guayaquil ecuadorenemergencia ecuadorsos covidec covidec coronavirusec coronavirusecuador… https//tco/jzjnxyqu
41,2020-04-03 00:34:07, baironvallep ¡nos estaban mintiendocomunicacionec pretendió desviar la atención insinuando como fakenews a las noticias de persona…
42,2020-04-03 00:34:06, bytati viene a darnos lecciones de humanismo el presidente que decidió pagar  millones en deuda externa en lugar de comprar kits…
43,2020-04-03 00:34:04, bytati el propio presidente moreno desmiente las cifras oficiales presentadas por el coe aclara que ahora recogen  cadáveres diar…
44,2020-04-03 00:33:59, marcelaholguin miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  cataandramuno ind…
45,2020-04-03 00:33:54,evansousa lulaoficial alferdez gado bozolandesimpeachmentdobolsonarourgente ecuadorenemergencia https//tco/fnylairz
46,2020-04-03 00:33:51, cepamguayaquil consuemary policiaecuador fiscaliaecuador mariapaularomo cigualdadgenero estaremos vigilantes de que los hechos se…
47,2020-04-03 00:33:48, pdanilo gracias el cantonmilagro se lo agradece estimada isabelnoboap azucarvaldez consorcionobis por haber hecho eco del clamo…
